dataset,decay,model,n_data,k_params,chi2,aic,bic,delta_aic_vs_FREE_C9,A_or_DC9,DC9_eff_mean,notes
Bs2phi-LHCb-2015,Bs->phimumu,FREE_C9,24,1,13.195107020387567,15.195107020387567,16.373160850735513,0.0,-4.365832398383627,-4.365832398383627,DC9=-4.366
Bs2phi-LHCb-2015,Bs->phimumu,VFD_GREEN_600CELL,24,1,13.11446323680193,15.11446323680193,16.292517067149877,-0.08064378358563751,5.480229045986621,-4.761951992452434,"A=+5.4802, DC9_eff=-4.762"
