model,k_params,chi2,aic,bic,delta_aic_vs_FREE_C9,params
FREE_C9,1,39.31675580142509,41.31675580142509,42.78249170422482,0.0,DC9=-1.340
VFD_GREEN_600CELL,1,37.64279642636187,39.64279642636187,41.1085323291616,-1.6739593750632196,frozen 600-cell kernel; A=1.5934
FREE_C9 + FREE_C10,2,39.049662892777846,43.049662892777846,45.981134698377296,1.7329070913527573,"DC9=-1.395, DC10=+0.186"
"Charm-loop Gaussian (free A, sigma)",2,35.41169043468848,39.41169043468848,42.34316224028793,-1.9050653667366078,"A=+1.832, sigma=8.960 GeV^2"
