dropped_observable,n_remaining,amplitude,effective_delta_c9_mean,chi2,aic
BR,8,0.2908,-0.12296036091832792,5.903908500015419,7.903908500015419
P5p,8,0.0,-1.1992003976831628e-15,202.66702811528106,204.66702811528106
