region,q2_range,n_bins,n_data,FREE_C9_chi2,FREE_C9_DC9,FREE_C9_aic,VFD_chi2,VFD_amplitude,VFD_DC9_eff,VFD_aic,delta_aic_VFD_vs_FREE
low_q2,"(0.06, 4.0)",3,12,20.863885005208587,-1.1325436424697062,22.863885005208587,20.771149995718762,1.3974,-1.1241015713252065,22.771149995718762,-0.09273500948982516
central_q2,"(4.0, 8.0)",2,8,5.430403475831597,-1.5598480258049072,7.430403475831597,5.104748521568046,1.8188,-1.5685612789195993,7.104748521568046,-0.32565495426355096
high_q2,"(11.0, 19.0)",3,12,10.040208858441597,-1.1710536120498307,12.040208858441597,9.349432246089497,1.3028,-1.1827423481573673,11.349432246089497,-0.6907766123520993
