model,role,k_params,chi2,aic,bic,delta_aic_vs_FREE_C9,delta_bic_vs_FREE_C9,effective_delta_c9_mean,per_observable_delta_c9,notes
SM,baseline,0,210.79110184925997,210.79110184925997,210.79110184925997,4.335017178812052,3.5624284565722633,0.0,{},
FREE_C9,reference,1,204.45608467044792,206.45608467044792,207.2286733926877,0.0,0.0,0.1938680707162974,"{'BR': 0.1938680707162974, 'P5p': 0.1938680707162974}",
VFD_SHARED_KAPPA[kappa_exponential],primary,1,210.79110184926031,212.79110184926031,213.5636905715001,6.335017178812393,6.335017178812393,-1.537223849350735e-14,"{'BR': -1.537223849350735e-14, 'P5p': -1.537223849350735e-14}",amplitude=0.0000
VFD_PER_OBSERVABLE_A[kappa_exponential],diagnostic,2,207.2878751997625,211.2878751997625,212.83305264424206,4.831790529314588,5.604379251554349,-0.05551953771850968,"{'BR': -1.5433936439624954e-15, 'P5p': -0.11103907543701781}","per-observable A={'BR': 3.649780216338291e-15, 'P5p': 0.26258253839250023}"
