model,role,k_params,chi2,aic,bic,delta_aic_vs_FREE_C9,delta_aic_vs_KAPPA_EXP,coefficients,notes
SM,baseline,0,10.177833873611222,10.177833873611222,10.177833873611222,1.4732607826469941,2.2739253735958034,{},
FREE_C9,reference,1,6.704573090964229,8.704573090964228,8.784014632644064,0.0,0.8006645909488093,{'delta_c9': -0.15362183379908242},
KAPPA_EXP,wo004a-champion,1,5.903908500015419,7.903908500015419,7.983350041695255,-0.8006645909488093,0.0,{'amplitude': 0.29077370794487645},A * exp(-|x|/phi)
DIRICHLET_M1,primary,1,6.2677419773929035,8.267741977392904,8.34718351907274,-0.43683111357132454,0.3638334773774847,{'c1': 0.20851208565061916},"even-parity Dirichlet on [-x_max, x_max]; psi_k = cos((2k-1) pi x / (2 L))"
DIRICHLET_M2,primary,2,6.163031129936566,10.163031129936567,10.321914213296237,1.4584580389723385,2.2591226299211478,"{'c1': 0.21239003884560714, 'c3': 0.03791247788535561}","even-parity Dirichlet on [-x_max, x_max]; psi_k = cos((2k-1) pi x / (2 L))"
DIRICHLET_M3,diagnostic,3,5.563365993908763,11.563365993908764,11.801690618948271,2.8587929029445363,3.6594574938933455,"{'c1': 0.23163661528563845, 'c3': -0.011269346996313049, 'c5': 0.0861533392543662}","even-parity Dirichlet on [-x_max, x_max]; psi_k = cos((2k-1) pi x / (2 L))"
