n_modes,rel_recon_err,r_vs_full_kernel,r_vs_continuum_exp,chi2_p5p,aic_p5p,delta_aic_vs_FREE_C9,amplitude,lambda_max_used
1,0.07587406519107227,,,6.704573090964229,8.704573090964228,0.0,0.1536218337990829,-4.469701184366687e-15
2,0.07587406519107227,,,6.704573090964229,8.704573090964228,0.0,0.1536218337990829,2.2917960675006275
3,0.07587406519107227,,,6.704573090964229,8.704573090964228,0.0,0.1536218337990829,2.291796067500632
4,0.07587406519107227,,,6.704573090964229,8.704573090964228,0.0,0.1536218337990829,2.2917960675006332
5,0.07587406519107227,,,6.704573090964229,8.704573090964228,0.0,0.1536218337990829,2.2917960675006355
6,0.07587406519107227,,,6.704573090964229,8.704573090964228,0.0,0.1536218337990829,5.527864045000408
7,0.07587406519107227,,,6.704573090964229,8.704573090964228,0.0,0.1536218337990829,5.527864045000412
8,0.07587406519107227,,,6.704573090964229,8.704573090964228,0.0,0.1536218337990829,5.527864045000424
9,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,5.527864045000425
10,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,5.527864045000425
11,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,5.527864045000425
12,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,5.527864045000427
13,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,5.5278640450004275
14,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,5.527864045000433
15,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,8.999999999999996
16,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,8.999999999999996
17,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,8.999999999999998
18,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,9.0
19,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,9.0
20,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,9.0
21,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,9.000000000000002
22,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,9.000000000000002
23,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,9.000000000000004
24,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,9.000000000000004
25,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,9.000000000000005
26,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,9.000000000000005
27,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,9.000000000000007
28,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,9.000000000000009
29,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,9.000000000000009
30,0.040044796547729966,0.8752193555319365,0.8488890173865137,6.587555383564059,8.587555383564059,-0.11701770740016926,0.16580357663660772,9.000000000000009
50,0.025640389443841966,0.9325700395257996,0.9435727815201711,6.575441220377943,8.575441220377943,-0.12913187058628495,0.1716428847506517,12.000000000000004
60,0.025640389443841966,0.9325700395258001,0.9435727815201715,6.575441220377943,8.575441220377943,-0.12913187058628495,0.1716428847506517,13.999999999999993
80,0.025640389443841973,0.9325700395257992,0.9435727815201705,6.575441220377929,8.575441220377929,-0.12913187058629916,0.17164288349122275,14.000000000000004
100,1.1742848212471158e-14,1.0,0.9967985381030873,6.497501703436759,8.49750170343676,-0.2070713875274688,0.17794193942776704,14.472135954999587
120,1.173483392524099e-14,1.0,0.996798538103087,6.497501703436759,8.49750170343676,-0.2070713875274688,0.17794193942776726,15.708203932499373
