dataset,region,q2_range,n_bins,n_data,FREE_C9_chi2,FREE_C9_DC9,VFD_chi2,VFD_A,VFD_DC9_eff,delta_aic
Bs2phi-LHCb-2015,low_q2,"(0.1, 2.0)",1,4,1.6600080448886143,-4.227376839199729,1.6600080448886145,5.3076655095286975,-4.227376839199728,4.440892098500626e-16
Bs2phi-LHCb-2015,central_q2,"(5.0, 8.0)",1,4,0.7807919228595447,-9.999999999999982,0.6683988099712643,15.495482291542883,-13.489563528433472,-0.11239311288828047
Bs2phi-LHCb-2015,high_q2,"(11.0, 19.0)",3,12,9.328289321262021,-9.999999999999877,9.146507493577868,19.999999999999847,-18.157384389652613,-0.18178182768415319
