trial,amplitude,chi2
0,1.4726744925080393,39.27868542954202
1,1.6973751658742846,41.87087833133915
2,1.7651355994195104,37.50309785508266
3,1.5068435748897988,45.456376855467695
4,1.5107579300183849,42.725945008061515
5,1.5957793498275645,33.41006744270908
6,1.6032781423010947,43.27786761676332
7,1.79964560871665,57.540167351433425
8,1.5094724517965634,31.910572285604907
9,1.7143703576873075,42.95710008962613
10,1.7184870421621024,31.415952594830884
11,1.3880265318209264,35.584619149681416
12,1.5066717362769833,65.50697524984511
13,1.718641915103266,41.72391576364531
14,1.5688627844843515,27.92432101606694
15,1.4756118600059547,48.335728800985194
16,1.774622098100564,35.742790441254016
17,1.7271175566334582,47.16204791682635
18,1.4035758236303344,41.06263950590739
19,1.6462828860311185,48.97947390985041
20,1.7505924844460736,52.620773369809655
21,1.5654659917388882,39.9510427834897
22,1.4279989653861112,48.85687173689797
23,1.6239074913632632,28.10739351322166
24,1.5633676610780087,32.51850561970653
25,1.6539162508415055,40.192588225861236
26,1.6672114446334874,47.8084337856214
27,1.4077882059520288,46.59998918215757
28,-0.9446758106042233,26.205996206497765
29,1.3349883416131023,40.744984143014165
30,1.6562058502474133,39.47146345480378
31,1.435496945015325,44.270498067381986
32,1.5181852068102955,22.943563488888373
33,1.3897836618234487,49.59331979174512
34,1.5027146937664129,33.72455983515489
35,1.4317252555442403,47.39917994873045
36,1.5178787598734678,56.22767931144665
37,1.0749495079732476,33.05383658289441
38,1.9194809643654205,40.174514579577135
39,1.580527033401557,32.12617887851445
40,1.6067189963470687,36.14698120661574
41,1.6999154616252952,42.143221937896584
42,2.0572034936812402,38.510916488828386
43,1.463009397878892,52.117295097238454
44,1.710217798331323,43.90143942649556
45,1.6279141319077004,46.52666468670453
46,1.6736283493538997,42.268291357870496
47,1.4584514593456572,49.04701960388712
48,1.5230790649795747,32.00723994162625
49,1.588312779911928,38.592454984054505
50,1.6468903819642948,49.17251978961164
51,0.7901629895536726,44.8614379518756
52,1.3926914103086534,47.74104326938134
53,1.7217954254224965,34.181762153875965
54,1.7467027474930594,30.195550017929126
55,1.721570317586954,37.9899038155974
56,1.3613206134560407,38.669470031865124
57,1.5638731391874408,34.82261753096857
58,1.5274040436281875,44.59785358340018
59,1.5476481938956002,29.23670994193364
60,1.6083839623600897,42.23966859653963
61,1.3914226908488532,44.46738204079966
62,1.532624918080435,29.5646395961296
63,1.4452489684883139,56.50852622623577
64,1.7265535937620882,40.79623240770484
65,1.8494539291492336,48.98262175118493
66,1.5012194943623984,35.54776141276975
67,1.584723865471434,42.72485220524979
68,1.6975974022096043,57.7993533246278
69,1.6418546312381554,37.14485398924809
70,1.8477015538119828,51.719382573847184
71,1.5338099163342855,38.64715461533397
72,1.38057669213649,54.51392467128235
73,1.48052243463194,33.40817600688284
74,1.5632117615992307,50.845525920978865
75,1.4017571721129536,35.23926514442272
76,1.5213730269314398,34.81330244217615
77,1.6441276607365944,24.105106014732023
78,2.02612998201396,40.44737641133849
79,1.3989940732081998,37.29486070071398
80,1.681153704476436,35.921218134544674
81,1.8500375122517072,47.37475904745647
82,1.5705213168432222,38.160463320522936
83,1.4821296048045933,45.622783153274746
84,1.5884307941472526,42.00899605936603
85,2.0042331775497697,31.3937777331955
86,1.696599794264757,47.119588985641755
87,1.4632986020013217,43.21211712855377
88,1.4314009161882089,46.564365135088586
89,1.628317309602676,31.302306705849006
90,1.5311824007978476,49.42848483295225
91,1.4568470302292489,38.49096507777932
92,1.4005791290190857,37.68855551831654
93,1.782870401641607,31.965125326099106
94,1.9207142728240372,48.90369694044642
95,1.355600041207266,45.30786214294877
96,1.7591455890590515,50.96245533014101
97,1.5796942705578338,34.87422231661561
98,1.4865817137493131,30.691567135920057
99,1.7919444670823061,39.21263267192367
100,2.00630984690034,33.35667732502522
101,1.7635224847623148,39.83070026104397
102,1.710217798331323,43.90143942649555
103,1.567069606198737,45.63767542675187
104,1.4245531526581736,49.05896527083884
105,1.6724416380584446,44.569760749640885
106,1.8372666317593058,34.45694697457605
107,1.36364720337366,38.357907296082494
108,1.6091529002552534,35.26577181574251
109,1.5473878419658036,30.14557454298464
110,1.2920670435513864,40.56378996447181
111,1.692741180301926,30.091578925031342
112,1.5440613150494522,36.70438845061288
113,1.5336059593871108,42.76316124691965
114,1.6558572798797648,49.51902334391846
115,1.400840694846706,35.59859782423851
116,1.6984945114228225,39.31478072909415
117,1.7056755772596497,39.826592151895824
118,1.3922084036786782,44.663574182005945
119,1.6291552926227109,40.25080609075528
120,1.7889371807557017,35.750638587884104
121,1.5372942975083177,38.546702728040195
122,1.224049493377552,42.72016086776365
123,1.602902372486323,45.94512847257171
124,1.5307772172779117,38.503066334156195
125,1.9371930575629914,42.35635261353946
126,1.73555827771487,34.737152089440016
127,1.677374201365503,59.62814844405643
128,1.5883110037741264,32.17191782394906
129,1.795127664532849,31.637778377303544
130,1.4776063945513647,44.399867525941275
131,1.7108792059409712,42.68766170970069
132,1.8794934146382722,45.54170786090205
133,1.6751331945738062,45.99704891290605
134,1.511086878549419,32.2965360467998
135,1.6069712099042137,31.47927087572442
136,1.5910202257886654,34.33172222040703
137,1.586681890027898,22.619383669736365
138,1.3349883358003738,40.74498414301414
139,1.8143950163786553,50.49367717154898
140,1.7419236799608842,35.63400924244139
141,1.7073715035718628,38.689827839529215
142,1.6717582274583298,39.99418621915382
143,1.453063781120721,48.81062650085257
144,1.8034484450745796,37.510079605921774
145,1.5311824007978478,49.42848483295225
146,1.795731472756408,43.87596693461764
147,1.415793232899158,51.916219090799245
148,1.3731959429209952,41.15865206197588
149,1.636833170266887,44.547225361328664
150,1.5348576715309956,41.38136453393872
151,1.5654383000552277,38.10200511815526
152,1.742780838707927,46.04569409164362
153,1.5662014466643204,52.59552389235911
154,1.6350758435148438,42.24238720224522
155,1.6866318263883995,23.171905013161478
156,1.6719635833246154,44.01802274872992
157,1.6775140817441212,43.44549256599002
158,1.2539639557357944,50.535239828613825
159,1.573505948684085,36.33204056128637
160,1.6965257023484135,45.59907750320791
161,1.621214207638086,45.999247126451145
162,1.5581624767791098,44.83792615725915
163,1.6659933857447,28.410256555578968
164,1.7472490255053152,48.35772876616994
165,1.6778854191235073,38.27154338680009
166,1.594937272767694,57.22168200548194
167,1.7076385831372485,36.096745154940976
168,1.5633676610780087,32.51850561970653
169,1.615898087856502,55.28286117747833
170,1.6016442905174917,49.73209505439951
171,1.6204745857872775,47.78485115662558
172,1.7583964073823966,39.072615221809684
173,1.3719160231395058,37.81151330483985
174,1.9019356473726612,44.64574737757468
175,1.7252408800627261,33.0848436833566
176,1.8615324971503835,44.93598083933131
177,1.6234629510688405,33.832076868380376
178,1.4437285682043446,34.58094721194156
179,1.4093693856013176,53.97143943379578
180,1.877746540131314,36.40581534133568
181,1.4721365757580864,42.98315181946399
182,1.5677678689753085,34.8463056040824
183,1.5088186935632335,58.12512191388997
184,1.4780753195985135,38.191970288397854
185,1.5654588047370357,37.68316570479334
186,1.8736186379573214,54.16076870234637
187,1.8450094222346785,42.910889498450445
188,1.7125850278061279,33.653398956883954
189,1.7519145847491504,26.359037206027107
190,1.5534262406518355,52.62979177284895
191,1.8261433791227732,33.3819200232258
192,1.774622098100564,35.742790441254016
193,1.6666742269284223,49.46604862784639
194,1.5141302303579365,24.84253127507281
195,1.6071273513574678,51.71134650595941
196,1.6642539954071054,24.39567116782848
197,1.4175105471919798,44.6996800102608
198,1.305523683658775,43.71848295587379
199,1.58738679738327,39.4636233496894
200,1.2110321721426178,35.696091921451185
201,1.618816917418549,45.442256487246446
202,1.6494645116784064,41.468783522659976
203,1.6057393611614759,33.846319954674755
204,1.3974035216443181,39.54252862872407
205,1.5770553060537493,39.13234916316717
206,1.549733991139354,42.36165185797877
207,1.380667658473035,39.87274873157591
208,1.5452043077116424,43.66254942737332
209,1.701404860305748,38.103580247431516
210,1.6984060340939315,38.14256942989549
211,1.851917760987471,61.82676507996413
212,1.089134109295785,35.46509600638464
213,1.9311703274125271,46.099420548627805
214,1.6016442905174917,49.73209505439951
215,1.721825322748674,38.994585214783115
216,1.6291552926227109,40.250806090755276
217,1.6745967542446307,43.12497525228419
218,1.6470689189511531,46.6374662102457
219,1.7435987270444566,23.83395394381009
220,1.7344712839802658,52.4579966106047
221,1.5117957170004108,38.87159386017112
222,1.5626781971467603,30.110883702876567
223,1.559771263249153,55.65503548155429
224,1.9412827679749705,50.86789962042549
225,1.518847576280999,47.938455508506095
226,1.6755490204865344,32.720730579756875
227,1.6672114446334871,47.80843378562139
228,1.6406866336067518,33.9550923322666
229,1.5620957319075002,40.60822701301503
230,1.5647395733102263,40.054599291317146
231,1.355600041207266,45.30786214294877
