model,k_params,chi2,amplitude,delta_aic_vs_FREE_C9,delta_aic_vs_KAPPA_EXP,correlation_with_exp,correlation_with_cos,eigenvalue,notes
SM,0,10.177833873611222,,,,,,,baseline
FREE_C9,1,6.704573090964229,-0.15362183379908242,0.0,0.8006645909488093,,,,global C_9 shift
KAPPA_EXP (continuum Green's function),1,5.903908500015419,0.29077370794487645,-0.8006645909488093,0.0,1.0,0.8573973264570073,,Layer 1 derivation: Green's fn of L_phi on R
DISCRETE_LIFT[FREE_DIRICHLET],1,6.2424736217014205,0.21195427459974392,-0.46209946926280665,0.3385651216860026,0.8629405130944718,0.9999050370140623,0.15224093497742675,"shell eigenmode psi at shells = [0.0, 0.38268343236509034, 0.7071067811865481, 0.923879532511287, 1.0, 0.9238795325112863, 0.7071067811865468, 0.3826834323650892, 0.0]"
DISCRETE_LIFT[PHI_MASS],1,6.242473621701421,0.21195427498938196,-0.46209946926280665,0.3385651216860026,0.8629405130944714,0.9999050370140623,0.5342069462275316,"shell eigenmode psi at shells = [0.0, 0.38268343236509034, 0.7071067811865485, 0.923879532511288, 1.0, 0.9238795325112874, 0.7071067811865476, 0.3826834323650894, 0.0]"
DISCRETE_LIFT[PHI_COCYCLE[alpha=1.0]],1,6.425196854989013,0.3275084545666216,-0.27937623597521544,0.5212883549735938,0.9827687353558534,0.7643755568651279,2.1858364851828287,"shell eigenmode psi at shells = [-0.0, 0.0011151826504249753, 0.08498727259339207, 0.5980647630336323, 1.0, 0.5980647630336315, 0.08498727259339174, 0.001115182650425115, -0.0]"
