model,k_params,chi2,amplitude,delta_aic_vs_FREE_C9,delta_aic_vs_KAPPA_EXP,correlation_with_exp,correlation_with_cos,eigenvalue,notes
FREE_C9,1,14.91136257673117,-1.3771673074587851,0.0,7.0000330721695825,,,,global C9 shift
KAPPA_EXP (Layer 1),1,7.91132950456159,4.493105046250109,-7.0000330721695825,0.0,1.0,0.8573973264570073,,Green's fn of L_phi on R
FULL_LIFT[UNWEIGHTED]_EIGENMODE,1,68.87744175958301,1.0590026056598206e-15,53.966079182851836,60.966112255021415,0.848889017386516,0.9989213436064005,5.527864045000407,"shell-mean psi = [-1.0, -0.539, -0.0, 0.206, 0.333, 0.206, -0.0, -0.539, -1.0]"
FULL_LIFT[UNWEIGHTED]_GREENS,1,13.555372381338534,1.684032143799957,-1.3559901953926374,5.644042876776945,0.9967985381030878,0.8811748187990005,0.38196601125011054,"shell-mean psi = [0.788, 0.813, 0.864, 0.89, 1.0, 0.89, 0.864, 0.813, 0.788]"
FULL_LIFT[PHI_GEOMETRIC]_EIGENMODE,1,68.87744175958298,4.045030564272261e-16,53.96607918285181,60.966112255021386,0.9167541596739875,0.5939777935192312,16.091394104006344,"shell-mean psi = [-0.484, -0.483, -0.412, -0.379, 1.0, -0.38, -0.413, -0.483, -0.484]"
FULL_LIFT[PHI_GEOMETRIC]_GREENS,1,14.713092849062674,1.4839477417697895,-0.19826972766849593,6.8017633445010866,0.9129905074147774,0.5866213390533299,0.3819660112505599,"shell-mean psi = [0.928, 0.928, 0.931, 0.932, 1.0, 0.932, 0.931, 0.928, 0.928]"
FULL_LIFT[PHI_ARITHMETIC]_EIGENMODE,1,67.07098551354942,2.362281442104074,52.159622936818245,59.159656008987824,0.8065358204673815,0.44505072024998116,21.691086164682755,"shell-mean psi = [0.0, -0.001, 0.08, -0.377, 1.0, -0.379, 0.08, -0.001, 0.0]"
FULL_LIFT[PHI_ARITHMETIC]_GREENS,1,14.781586036793946,1.4548996039228745,-0.12977653993722527,6.870256532232357,0.8988651524033546,0.5626113000566804,0.381966011249224,"shell-mean psi = [0.947, 0.947, 0.949, 0.947, 1.0, 0.947, 0.949, 0.947, 0.947]"
